color.text.information, "Use for informative text or to communicate something is in progress, such as in-progress lozenges."
color.text.subtlest, "Use for tertiary text, such as meta-data, breadcrumbs, input field placeholder and helper text."
color.text.subtle, "Use for secondary text, such as navigation, subtle button links, input field labels, and all caps subheadings."
color.link, "Use for links in a default or hovered state. Add an underline for hovered states."
color.link.pressed, "Use for links in a pressed state."
color.link.visited, "Use for links in a visited state."
color.icon, "Use for icon-only buttons, or icons paired with color.text"
color.icon.accent.lime, "Use for lime icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons."
color.icon.accent.red, "Use for red icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons."
color.icon.accent.orange, "Use for orange icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons."
color.icon.accent.yellow, "Use for yellow icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons."
color.icon.accent.green, "Use for green icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons."
color.icon.accent.teal, "Use for teal icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons."
color.icon.accent.blue, "Use for blue icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons."
color.icon.accent.purple, "Use for purple icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons."
color.icon.accent.magenta, "Use for magenta icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons."
color.icon.accent.gray, "Use for icons on non-bold gray accent backgrounds, such as file type icons."
color.icon.disabled, "Use for icons in a disabled state."
color.icon.inverse, "Use for icons on bold backgrounds."
color.icon.selected, "Use for icons in selected or opened states, such as those used in dropdown buttons."
color.icon.brand, "Use for icons that reinforce our brand."
color.icon.danger, "Use for icons communicating critical information, such as those used in error handing."
color.icon.warning, "Use for icons communicating caution, such as those used in warning section messages."
color.icon.warning.inverse, "Use for icons when on bold warning backgrounds."
color.icon.success, "Use for icons communicating a favorable outcome, such as those used in success section messaged."
color.icon.discovery, "Use for icons communicating change or something new, such as discovery section messages."
color.icon.information, "Use for icons communicating information or something in-progress, such as information section messages."
color.icon.subtle, "Use for icons paired with color.text.subtle"
color.border, "Use to visually group or separate UI elements, such as flat cards or side panel dividers."
color.border.accent.lime, "Use for lime borders on non-bold backgrounds when there is no meaning tied to the color."
color.border.accent.red, "Use for red borders on non-bold backgrounds when there is no meaning tied to the color."
color.border.accent.orange, "Use for orange borders on non-bold backgrounds when there is no meaning tied to the color."
color.border.accent.yellow, "Use for yellow borders on non-bold backgrounds when there is no meaning tied to the color."
color.border.accent.green, "Use for green borders on non-bold backgrounds when there is no meaning tied to the color."
color.border.accent.teal, "Use for teal borders on non-bold backgrounds when there is no meaning tied to the color."
color.border.accent.blue, "Use for blue borders on non-bold backgrounds when there is no meaning tied to the color."
color.border.accent.purple, "Use for purple borders on non-bold backgrounds when there is no meaning tied to the color."
color.border.accent.magenta, "Use for magenta borders on non-bold backgrounds when there is no meaning tied to the color."
color.border.accent.gray, "Use for borders on non-bold gray accent backgrounds."
color.border.disabled, "Use for borders of elements in a disabled state."
color.border.focused, "Use for focus rings of elements in a focus state."
color.border.input, "Use for borders of form UI elements, such as text fields, checkboxes, and radio buttons."
color.border.inverse, "Use for borders on bold backgrounds."
color.border.selected, "Use for borders or visual indicators of elements in a selected or opened state, such as in tabs or menu items."
color.border.brand, "Use for borders or visual indicators of elements that reinforce our brand, such as logos or primary buttons."
color.border.danger, "Use for borders communicating critical information, such as the borders on invalid text fields."
color.border.warning, "Use for borders communicating caution."
color.border.success, "Use for borders communicating a favorable outcome, such as the borders on validated text fields."
color.border.discovery, "Use for borders communicating change or something new, such as the borders in onboarding spotlights."
color.border.information, "Use for borders communicating information or something in-progress."
color.border.bold, "A neutral border option that passes min 3:1 contrast ratios."
color.background.accent.lime.subtlest, "Use for for backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color."
color.background.accent.lime.subtlest.hovered, "Hovered state of color.background.accent.lime.subtlest."
color.background.accent.lime.subtlest.pressed, "Pressed state of color.background.accent.lime.subtlest."
color.background.accent.lime.subtler, "Use for for backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.lime.subtler.hovered, "Hovered state of color.background.accent.lime.subtler."
color.background.accent.lime.subtler.pressed, "Pressed state of color.background.accent.lime.subtler."
color.background.accent.lime.subtle, "Use for vibrant for backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.lime.subtle.hovered, "Hovered state of color.background.accent.lime.subtle."
color.background.accent.lime.subtle.pressed, "Pressed state of color.background.accent.lime.subtle."
color.background.accent.lime.bolder, "Use for for backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements."
color.background.accent.lime.bolder.hovered, "Hovered state of color.background.accent.lime.bolder."
color.background.accent.lime.bolder.pressed, "Pressed state of color.background.accent.lime.bolder."
color.background.accent.red.subtlest, "Use for red backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color."
color.background.accent.red.subtlest.hovered, "Hovered state of color.background.accent.red.subtlest."
color.background.accent.red.subtlest.pressed, "Pressed state of color.background.accent.red.subtlest."
color.background.accent.red.subtler, "Use for red backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.red.subtler.hovered, "Hovered state of color.background.accent.red.subtler."
color.background.accent.red.subtler.pressed, "Pressed state of color.background.accent.red.subtler."
color.background.accent.red.subtle, "Use for vibrant red backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.red.subtle.hovered, "Hovered state of color.background.accent.red.subtle."
color.background.accent.red.subtle.pressed, "Pressed state of color.background.accent.red.subtle."
color.background.accent.red.bolder, "Use for red backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements."
color.background.accent.red.bolder.hovered, "Hovered state of color.background.accent.red.bolder."
color.background.accent.red.bolder.pressed, "Pressed state of color.background.accent.red.bolder."
color.background.accent.orange.subtlest, "Use for orange backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color."
color.background.accent.orange.subtlest.hovered, "Hovered state of color.background.accent.orange.subtlest."
color.background.accent.orange.subtlest.pressed, "Pressed state of color.background.accent.orange.subtlest."
color.background.accent.orange.subtler, "Use for orange backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.orange.subtler.hovered, "Hovered state of color.background.accent.orange.subtler."
color.background.accent.orange.subtler.pressed, "Pressed state of color.background.accent.orange.subtler."
color.background.accent.orange.subtle, "Use for vibrant orange backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.orange.subtle.hovered, "Hovered state of color.background.accent.orange.subtle."
color.background.accent.orange.subtle.pressed, "Pressed state of color.background.accent.orange.subtle."
color.background.accent.orange.bolder, "Use for orange backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements."
color.background.accent.orange.bolder.hovered, "Hovered state of color.background.accent.orange.bolder."
color.background.accent.orange.bolder.pressed, "Pressed state of color.background.accent.orange.bolder."
color.background.accent.yellow.subtlest, "Use for yellow backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color."
color.background.accent.yellow.subtlest.hovered, "Hovered state of color.background.accent.yellow.subtlest."
color.background.accent.yellow.subtlest.pressed, "Pressed state of color.background.accent.yellow.subtlest."
color.background.accent.yellow.subtler, "Use for yellow backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.yellow.subtler.hovered, "Hovered state of color.background.accent.yellow.subtler."
color.background.accent.yellow.subtler.pressed, "Pressed state of color.background.accent.yellow.subtler."
color.background.accent.yellow.subtle, "Use for vibrant yellow backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.yellow.subtle.hovered, "Hovered state of color.background.accent.yellow.subtle."
color.background.accent.yellow.subtle.pressed, "Pressed state of color.background.accent.yellow.subtle."
color.background.accent.yellow.bolder, "Use for yellow backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements."
color.background.accent.yellow.bolder.hovered, "Hovered state of color.background.accent.yellow.bolder."
color.background.accent.yellow.bolder.pressed, "Pressed state of color.background.accent.yellow.bolder."
color.background.accent.green.subtlest, "Use for green backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color."
color.background.accent.green.subtlest.hovered, "Hovered state of color.background.accent.green.subtlest."
color.background.accent.green.subtlest.pressed, "Pressed state of color.background.accent.green.subtlest."
color.background.accent.green.subtler, "Use for green backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.green.subtler.hovered, "Hovered state of color.background.accent.green.subtler."
color.background.accent.green.subtler.pressed, "Pressed state of color.background.accent.green.subtler."
color.background.accent.green.subtle, "Use for vibrant green backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.green.subtle.hovered, "Hovered state of color.background.accent.green.subtle."
color.background.accent.green.subtle.pressed, "Pressed state of color.background.accent.green.subtle."
color.background.accent.green.bolder, "Use for green backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements."
color.background.accent.green.bolder.hovered, "Hovered state of color.background.accent.green.bolder."
color.background.accent.green.bolder.pressed, "Pressed state of color.background.accent.green.bolder."
color.background.accent.teal.subtlest, "Use for teal backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color."
color.background.accent.teal.subtlest.hovered, "Hovered state of color.background.accent.teal.subtlest."
color.background.accent.teal.subtlest.pressed, "Pressed state of color.background.accent.teal.subtlest."
color.background.accent.teal.subtler, "Use for teal backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.teal.subtler.hovered, "Hovered state of color.background.accent.teal.subtler."
color.background.accent.teal.subtler.pressed, "Pressed state of color.background.accent.teal.subtler."
color.background.accent.teal.subtle, "Use for vibrant teal backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.teal.subtle.hovered, "Hovered state of color.background.accent.teal.subtle."
color.background.accent.teal.subtle.pressed, "Pressed state of color.background.accent.teal.subtle."
color.background.accent.teal.bolder, "Use for teal backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements."
color.background.accent.teal.bolder.hovered, "Hovered state of color.background.accent.teal.bolder."
color.background.accent.teal.bolder.pressed, "Pressed state of color.background.accent.teal.bolder."
color.background.accent.blue.subtlest, "Use for blue backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color."
color.background.accent.blue.subtlest.hovered, "Hovered state of color.background.accent.blue.subtlest."
color.background.accent.blue.subtlest.pressed, "Pressed state of color.background.accent.blue.subtlest."
color.background.accent.blue.subtler, "Use for blue backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.blue.subtler.hovered, "Hovered state of color.background.accent.blue.subtler."
color.background.accent.blue.subtler.pressed, "Pressed state of color.background.accent.blue.subtler."
color.background.accent.blue.subtle, "Use for vibrant blue backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.blue.subtle.hovered, "Hovered state of color.background.accent.blue.subtle."
color.background.accent.blue.subtle.pressed, "Pressed state of color.background.accent.blue.subtle."
color.background.accent.blue.bolder, "Use for blue backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements."
color.background.accent.blue.bolder.hovered, "Hovered state of color.background.accent.blue.bolder."
color.background.accent.blue.bolder.pressed, "Pressed state of color.background.accent.blue.bolder."
color.background.accent.purple.subtlest, "Use for purple backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color."
color.background.accent.purple.subtlest.hovered, "Hovered state of color.background.accent.purple.subtlest."
color.background.accent.purple.subtlest.pressed, "Pressed state of color.background.accent.purple.subtlest."
color.background.accent.purple.subtler, "Use for purple backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.purple.subtler.hovered, "Hovered state of color.background.accent.purple.subtler."
color.background.accent.purple.subtler.pressed, "Pressed state of color.background.accent.purple.subtler."
color.background.accent.purple.subtle, "Use for vibrant purple backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.purple.subtle.hovered, "Hovered state of color.background.accent.purple.subtle."
color.background.accent.purple.subtle.pressed, "Pressed state of color.background.accent.purple.subtle."
color.background.accent.purple.bolder, "Use for purple backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements."
color.background.accent.purple.bolder.hovered, "Hovered state of color.background.accent.purple.bolder."
color.background.accent.purple.bolder.pressed, "Pressed state of color.background.accent.purple.bolder."
color.background.accent.magenta.subtlest, "Use for magenta backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color."
color.background.accent.magenta.subtlest.hovered, "Hovered state of color.background.accent.magenta.subtlest."
color.background.accent.magenta.subtlest.pressed, "Pressed state of color.background.accent.magenta.subtlest."
color.background.accent.magenta.subtler, "Use for magenta backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.magenta.subtler.hovered, "Hovered state of color.background.accent.magenta.subtler."
color.background.accent.magenta.subtler.pressed, "Pressed state of color.background.accent.magenta.subtler."
color.background.accent.magenta.subtle, "Use for vibrant magenta backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.magenta.subtle.hovered, "Hovered state of color.background.accent.magenta.subtle."
color.background.accent.magenta.subtle.pressed, "Pressed state of color.background.accent.magenta.subtle."
color.background.accent.magenta.bolder, "Use for magenta backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements."
color.background.accent.magenta.bolder.hovered, "Hovered state of color.background.accent.magenta.bolder."
color.background.accent.magenta.bolder.pressed, "Pressed state of color.background.accent.magenta.bolder."
color.background.accent.gray.subtlest, "Use for gray backgrounds when there is no meaning tied to the color. Reserved for when you only want a hint of color."
color.background.accent.gray.subtlest.hovered, "Hovered state of color.background.accent.gray.subtlest."
color.background.accent.gray.subtlest.pressed, "Pressed state of color.background.accent.gray.subtlest."
color.background.accent.gray.subtler, "Use for gray backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.gray.subtler.hovered, "Hovered state of color.background.accent.gray.subtler."
color.background.accent.gray.subtler.pressed, "Pressed state of color.background.accent.gray.subtler."
color.background.accent.gray.subtle, "Use for vibrant gray backgrounds when there is no meaning tied to the color, such as colored tags."
color.background.accent.gray.subtle.hovered, "Hovered state of color.background.accent.gray.subtle."
color.background.accent.gray.subtle.pressed, "Pressed state of color.background.accent.gray.subtle."
color.background.accent.gray.bolder, "Use for gray backgrounds when there is no meaning tied to the color, and the background needs to pass min 3:1 contrast requirements."
color.background.accent.gray.bolder.hovered, "Hovered state of color.background.accent.gray.bolder."
color.background.accent.gray.bolder.pressed, "Pressed state of color.background.accent.gray.subtlest."
color.background.disabled, "Use for backgrounds of elements in a disabled state."
color.background.input, "Use for background of form UI elements, such as text fields, checkboxes, and radio buttons."
color.background.input.hovered, "Hovered state for color.background.input"
color.background.input.pressed, "Pressed state for color.background.input"
color.background.inverse.subtle, "Use for backgrounds of elements on a bold background, such as in the buttons on spotlight cards."
color.background.inverse.subtle.hovered, "Use for the hovered state of color.background.inverse.subtle"
color.background.inverse.subtle.pressed, "Use for the pressed state of color.background.inverse.subtle"
color.background.neutral, "The default background for neutral elements, such as default buttons."
color.background.neutral.hovered, "Hovered state for color.background.neutral"
color.background.neutral.pressed, "Pressed state for color.background.neutral"
color.background.neutral.subtle, "Use for the background of elements that appear to have no background in a resting state, such as subtle buttons and menu items."
color.background.neutral.subtle.hovered, "Hovered state for color.background.neutral.subtle"
color.background.neutral.subtle.pressed, "Pressed state for color.background.neutral.subtle"
color.background.neutral.bold, "A vibrant background option for neutral UI elements, such as announcement banners."
color.background.neutral.bold.hovered, "Hovered state of color.background.neutral.bold"
color.background.neutral.bold.pressed, "Pressed state of color.background.neutral.bold"
color.background.selected, "Use for the background of elements in a selected state, such as in opened dropdown buttons."
color.background.selected.hovered, "Hovered state for color.background.selected"
color.background.selected.pressed, "Pressed state for color.background.selected"
color.background.selected.bold, "Use for the backgrounds of elements in a selected state, such as checkboxes and radio buttons."
color.background.selected.bold.hovered, "Hovered state of color.background.selected.bold"
color.background.selected.bold.pressed, "Pressed state of color.background.selected.bold"
color.background.brand.subtlest, "Use for the background of elements used to reinforce our brand, but with less emphasis."
color.background.brand.subtlest.hovered, "Hovered state of color.background.brand.subtlest."
color.background.brand.subtlest.pressed, "Pressed state of color.background.brand.subtlest"
color.background.brand.bold, "Use for the background of elements used to reinforce our brand, but with more emphasis."
color.background.brand.bold.hovered, "Hovered state of color.background.brand.bold."
color.background.brand.bold.pressed, "Pressed state of color.background.brand.bold."
color.background.brand.boldest, "Use for the background of elements used to reinforce our brand, that need to stand out a lot."
color.background.brand.boldest.hovered, "Hovered state of color.background.brand.boldest."
color.background.brand.boldest.pressed, "Pressed state of color.background.brand.boldest."
color.background.danger, "Use for backgrounds communicating critical information, such in error section messages."
color.background.danger.hovered, "Hovered state for color.background.danger"
color.background.danger.pressed, "Pressed state for color.background.danger"
color.background.danger.bold, "A vibrant background option for communicating critical information, such as in danger buttons and error banners."
color.background.danger.bold.hovered, "Hovered state of color.background.danger.bold"
color.background.danger.bold.pressed, "Pressed state of color.background.danger.bold"
color.background.warning, "Use for backgrounds communicating caution, such as in warning section messages."
color.background.warning.hovered, "Hovered state for color.background.warning"
color.background.warning.pressed, "Pressed state for color.background.warning"
color.background.warning.bold, "A vibrant background option for communicating caution, such as in warning buttons and warning banners."
color.background.warning.bold.hovered, "Hovered state of color.background.warning.bold"
color.background.warning.bold.pressed, "Pressed state of color.background.warning.bold"
color.background.success, "Use for backgrounds communicating a favorable outcome, such as in success section messages."
color.background.success.hovered, "Hovered state for color.background.success"
color.background.success.pressed, "Pressed state for color.background.success"
color.background.success.bold, "A vibrant background option for communicating a favorable outcome, such as in checked toggles."
color.background.success.bold.hovered, "Hovered state of color.background.success.bold"
color.background.success.bold.pressed, "Pressed state of color.background.success.bold"
color.background.discovery, "Use for backgrounds communicating change or something new, such as in discovery section messages."
color.background.discovery.hovered, "Hover state for color.background.discovery"
color.background.discovery.pressed, "Pressed state for color.background.discovery"
color.background.discovery.bold, "A vibrant background option communicating change or something new, such as in onboarding spotlights."
color.background.discovery.bold.hovered, "Hovered state of color.background.discovery.bold"
color.background.discovery.bold.pressed, "Pressed state of color.background.discovery.bold"
color.background.information, "Use for backgrounds communicating information or something in-progress, such as in information section messages."
color.background.information.hovered, "Hovered state of color.background.information"
color.background.information.pressed, "Pressed state of color.background.information"
color.background.information.bold, "A vibrant background option for communicating information or something in-progress."
color.background.information.bold.hovered, "Hovered state of color.background.information.bold"
color.background.information.bold.pressed, "Pressed state of color.background.information.bold"
color.blanket, "Use for the screen overlay that appears with modal dialogs"
color.blanket.selected, "Use as an overlay to communicate selected states when a simple background color change isn't possible, such as in Editor block elements"
color.blanket.danger, "Use as an overlay to communicate danger states when a simple background color change isn't possible, such as deletion of Editor block elements"
color.interaction.hovered, "Use as a background overlay for elements in a hovered state when their background color cannot change, such as avatars."
color.interaction.pressed, "Use as a background overlay for elements in a pressed state when their background color cannot change, such as avatars."
color.skeleton, "Use for skeleton loading states"
color.skeleton.subtle, "Use for the pulse or shimmer effect in skeleton loading states"
color.chart.categorical.1, "For data visualisation only. Follow numbered sequence."
color.chart.categorical.1.hovered, "Hovered state of color.chart.categorical.1."
color.chart.categorical.2, "For data visualisation only. Follow numbered sequence."
color.chart.categorical.2.hovered, "Hovered state of color.chart.categorical.2."
color.chart.categorical.3, "For data visualisation only. Follow numbered sequence."
color.chart.categorical.3.hovered, "Hovered state of color.chart.categorical.3."
color.chart.categorical.4, "For data visualisation only. Follow numbered sequence."
color.chart.categorical.4.hovered, "Hovered state of color.chart.categorical.4."
color.chart.categorical.5, "For data visualisation only. Follow numbered sequence."
color.chart.categorical.5.hovered, "Hovered state of color.chart.categorical.5."
color.chart.categorical.6, "For data visualisation only. Follow numbered sequence."
color.chart.categorical.6.hovered, "Hovered state of color.chart.categorical.6."
color.chart.categorical.7, "For data visualisation only. Follow numbered sequence."
color.chart.categorical.7.hovered, "Hovered state of color.chart.categorical.7."
color.chart.categorical.8, "For data visualisation only. Follow numbered sequence."
color.chart.categorical.8.hovered, "Hovered state of color.chart.categorical.8."
color.chart.lime.bold, "For data visualisation only."
color.chart.lime.bold.hovered, "Hovered state of color.chart.lime.bold."
color.chart.lime.bolder, "For data visualisation only."
color.chart.lime.bolder.hovered, "Hovered state of color.chart.lime.bolder."
color.chart.lime.boldest, "For data visualisation only."
color.chart.lime.boldest.hovered, "Hovered state of color.chart.lime.boldest."
color.chart.neutral, "A secondary color for data visualisation or to communicate 'to-do' statues."
color.chart.neutral.hovered, "Hovered state of color.chart.neutral."
color.chart.red.bold, "For data visualisation only."
color.chart.red.bold.hovered, "Hovered state of color.chart.red.bold."
color.chart.red.bolder, "For data visualisation only."
color.chart.red.bolder.hovered, "Hovered state of color.chart.red.bolder."
color.chart.red.boldest, "For data visualisation only."
color.chart.red.boldest.hovered, "Hovered state of color.chart.red.boldest."
color.chart.orange.bold, "For data visualisation only."
color.chart.orange.bold.hovered, "Hovered state of color.chart.orange.bold."
color.chart.orange.bolder, "For data visualisation only."
color.chart.orange.bolder.hovered, "Hovered state of color.chart.orange.bolder."
color.chart.orange.boldest, "For data visualisation only."
color.chart.orange.boldest.hovered, "Hovered state of color.chart.orange.boldest."
color.chart.yellow.bold, "For data visualisation only."
color.chart.yellow.bold.hovered, "Hovered state of color.chart.yellow.bold."
color.chart.yellow.bolder, "For data visualisation only."
color.chart.yellow.bolder.hovered, "Hovered state of color.chart.yellow.bolder."
color.chart.yellow.boldest, "For data visualisation only."
color.chart.yellow.boldest.hovered, "Hovered state of color.chart.yellow.boldest."
color.chart.green.bold, "For data visualisation only."
color.chart.green.bold.hovered, "Hovered state of color.chart.green.bold."
color.chart.green.bolder, "For data visualisation only."
color.chart.green.bolder.hovered, "Hovered state of color.chart.green.bolder."
color.chart.green.boldest, "For data visualisation only."
color.chart.green.boldest.hovered, "Hovered state of color.chart.green.boldest."
color.chart.teal.bold, "For data visualisation only."
color.chart.teal.bold.hovered, "Hovered state of color.chart.teal.bold."
color.chart.teal.bolder, "For data visualisation only."
color.chart.teal.bolder.hovered, "Hovered state of color.chart.teal.bolder."
color.chart.teal.boldest, "For data visualisation only."
color.chart.teal.boldest.hovered, "Hovered state of color.chart.teal.boldest."
color.chart.blue.bold, "For data visualisation only."
color.chart.blue.bold.hovered, "Hovered state of color.chart.blue.bold."
color.chart.blue.bolder, "For data visualisation only."
color.chart.blue.bolder.hovered, "Hovered state of color.chart.blue.bolder."
color.chart.blue.boldest, "For data visualisation only."
color.chart.blue.boldest.hovered, "Hovered state of color.chart.blue.boldest."
color.chart.purple.bold, "For data visualisation only."
color.chart.purple.bold.hovered, "Hovered state of color.chart.purple.bold."
color.chart.purple.bolder, "For data visualisation only."
color.chart.purple.bolder.hovered, "Hovered state of color.chart.purple.bolder."
color.chart.purple.boldest, "For data visualisation only."
color.chart.purple.boldest.hovered, "Hovered state of color.chart.purple.boldest."
color.chart.magenta.bold, "For data visualisation only."
color.chart.magenta.bold.hovered, "Hovered state of color.chart.magenta.bold."
color.chart.magenta.bolder, "For data visualisation only."
color.chart.magenta.bolder.hovered, "Hovered state of color.chart.magenta.bolder."
color.chart.magenta.boldest, "For data visualisation only."
color.chart.magenta.boldest.hovered, "Hovered state of color.chart.magenta.boldest."
color.chart.gray.bold, "For data visualisation only."
color.chart.gray.bold.hovered, "Hovered state of color.chart.gray.bold."
color.chart.gray.bolder, "For data visualisation only."
color.chart.gray.bolder.hovered, "Hovered state of color.chart.gray.bolder."
color.chart.gray.boldest, "For data visualisation only."
color.chart.gray.boldest.hovered, "Hovered state of color.chart.gray.boldest."
color.chart.brand, "Our primary color for data visualisation. Use when only one color is required."
color.chart.brand.hovered, "Hovered state of color.chart.brand."
color.chart.danger, "For data visualisation communicating negative information, such as 'off track'."
color.chart.danger.hovered, "Hovered state of color.chart.danger."
color.chart.danger.bold, "A stronger emphasis option of color.chart.danger."
color.chart.danger.bold.hovered, "Hovered state of color.chart.danger.bold."
color.chart.warning, "For data visualisation communicating caution, such as 'at risk' statuses."
color.chart.warning.hovered, "Hovered state of color.chart.warning."
color.chart.warning.bold, "A stronger emphasis option of color.chart.warning."
color.chart.warning.bold.hovered, "Hovered state of color.chart.warning.bold."
color.chart.success, "For data visualisation communicating positive information, such as 'on track'."
color.chart.success.hovered, "Hovered state of color.chart.success."
color.chart.success.bold, "A stronger emphasis option of color.chart.success."
color.chart.success.bold.hovered, "Hovered state of color.chart.success.bold."
color.chart.discovery, "For data visualisation communicating 'new' statuses."
color.chart.discovery.hovered, "Hovered state of color.chart.discovery."
color.chart.discovery.bold, "A stronger emphasis option of color.chart.discovery."
color.chart.discovery.bold.hovered, "Hovered state of color.chart.discovery.bold."
color.chart.information, "For data visualisation communicating low priority or in-progress statuses."
color.chart.information.hovered, "Hovered state of color.chart.information."
color.chart.information.bold, "A stronger emphasis option of color.chart.information."
color.chart.information.bold.hovered, "Hovered state of color.chart.information.bold."
elevation.surface, "Use as the primary background for the UI."
elevation.surface.hovered, "Hovered state of elevation.surface"
elevation.surface.pressed, "Pressed state of elevation.surface"
elevation.surface.overlay, "Use for the background of elements that sit on top of they UI, such as modals, dialogs, dropdown menus, floating toolbars, and floating single-action buttons. Also use for the background of raised cards in a dragged state. Combine with elevation.shadow.overlay."
elevation.surface.overlay.hovered, "Hovered state of elevation.surface.overlay"
elevation.surface.overlay.pressed, "Pressed state of elevation.surface.overlay"
elevation.surface.raised, "Use for the background of cards that can be moved, such as Jira cards on a Kanban board. Combine with elevation.shadow.raised."
